"block","concentration","area"
"01",4107.68133819482,206822.950942
"04",925.460960416296,175025.279452
"05",676.969131606627,208611.165387
"06",208.894301311307,360540.294291
"08",39.1371418638004,120230.036664
"09",3555.09053396291,21883.389251
"10",504.332676641719,9824.369862
"11",109.650967062698,269.774338
"12",186.806731595571,227054.432447
"13",626.219998860725,231307.447154
"16",1147.79606134864,151136.438767
"17",6184.15288262834,226034.998832
"18",9002.89857302079,143768.026039
"19",701.656350941245,217962.025187
"20",1510.70827631807,247089.613906
"21",1996.60797852209,151534.7788
"22",4703.86102656988,190240.10066
"23",141.946579240872,91098.062061
"24",457.54702752672,47726.723946
"25",1226.1319164596,37757.583388
"26",990.63885882245,266218.249946
"27",316.932854571073,251094.427162
"28",1751.19318085208,189676.493621
"29",3755.30680191535,267082.422182
"30",111.500104321034,118270.44097
"31",261.121735706494,204981.679246
"32",28.257357068971,111225.390396
"33",209.422562248405,32230.712661
"34",1344.79699275771,34314.371954
"35",56.8783300697713,127036.986755
"36",449.463994961816,199800.54992
"37",925.415140790991,199685.79008
"38",25.3048659839478,130504.087843
"39",4024.00227062495,176937.045926
"40",488.228685548785,231732.053452
"41",338.524379387043,164657.75504
"42",4386.92763982852,181801.475886
"44",618.971753923631,6098.510562
"45",2102.92212793407,125418.560858
"46",81.3864919307585,114436.655103
"47",1976.83689130834,166366.792934
"48",2107.70597830776,669133.466415
"49",1322.86847919059,118037.447797
"50",40.2451717472324,36125.743482
"51",2456.14622627701,161846.45499
"53",659.210594378043,158986.092795
"54",839.255494525854,88253.064766
"55",1370.61845534199,246248.893885
"56",64.4693327892753,117182.510119
